Location,Job Title (KETCHUM MATCH),Hourly Pay Rate KETCHUM CURRENT W/ PEERS AGED 3% ,Years at Organization
Ketchum,BUSINESS LICENSE & TAX SPECIALIST,28.92,2.85
McCall,BUSINESS LICENSE & TAX SPECIALIST,23.23,5.44
Park City,BUSINESS LICENSE & TAX SPECIALIST,37.51,
Blaine Co Rec Dist,CITY ADMINISTRATOR,64.67,3.39
Blaine Co Sch Dist,CITY ADMINISTRATOR,94.21,2.67
Hailey,CITY ADMINISTRATOR,64.62,8.43
Jackson,CITY ADMINISTRATOR,117.56,16.1
Ketchum,CITY ADMINISTRATOR,82.70,3.51
McCall,CITY ADMINISTRATOR,76.25,6.06
Park City,CITY ADMINISTRATOR,104.09,10.6
Sun Valley,CITY ADMINISTRATOR,74.28,1.08
Telluride,CITY ADMINISTRATOR,78.64,
Blaine Co Rec Dist,CLERK/BUSINESS MANAGER,32.19,1.56
Blaine Co Sch Dist,CLERK/BUSINESS MANAGER,33.18,3.93
Hailey,CLERK/BUSINESS MANAGER,41.46,15.95
Jackson,CLERK/BUSINESS MANAGER,48.45,2.16
Ketchum,CLERK/BUSINESS MANAGER,43.50,1.4
McCall,CLERK/BUSINESS MANAGER,47.52,15.91
Park City,CLERK/BUSINESS MANAGER,45.71,17.73
Park City,CLERK/BUSINESS MANAGER,53.89,
Park City,CLERK/BUSINESS MANAGER,51.95,8.34
Sun Valley,CLERK/BUSINESS MANAGER,56.16,8.57
Telluride,CLERK/BUSINESS MANAGER,59.08,
Blaine Co Rec Dist,COMMUNITY ENGAGEMENT MANAGER,44.74,5.26
Jackson,COMMUNITY ENGAGEMENT MANAGER,58.24,4.31
Jackson,COMMUNITY ENGAGEMENT MANAGER,41.06,1.18
Ketchum,COMMUNITY ENGAGEMENT MANAGER,42.79,0.41
McCall,COMMUNITY ENGAGEMENT MANAGER,36.83,8.28
Park City,COMMUNITY ENGAGEMENT MANAGER,28.73,2.36
Park City,COMMUNITY ENGAGEMENT MANAGER,51.95,2.55
Park City,COMMUNITY ENGAGEMENT MANAGER,66.66,7.61
Telluride,COMMUNITY ENGAGEMENT MANAGER,36.69,
Telluride,COMMUNITY ENGAGEMENT MANAGER,59.08,
Blaine Co Rec Dist,COMMUNITY ENGAGEMENT SPECIALIST,31.48,5.04
Ketchum,COMMUNITY ENGAGEMENT SPECIALIST,31.97,0.15
McCall,COMMUNITY ENGAGEMENT SPECIALIST,23.22,1.47
Park City,COMMUNITY ENGAGEMENT SPECIALIST,39.77,2.09
Telluride,COMMUNITY ENGAGEMENT SPECIALIST,36.69,
Blaine Co Rec Dist,COMMUNITY RECREATION SUPERVISOR,24.59,9.89
Ketchum,COMMUNITY RECREATION SUPERVISOR,25.96,1.93
Ketchum,COMMUNITY RECREATION SUPERVISOR,25.96,1.93
Bellevue,COMMUNITY SERVICE OFFICER,24.72,
Jackson,COMMUNITY SERVICE OFFICER,42.21,8.28
Jackson,COMMUNITY SERVICE OFFICER,28.13,2.34
Ketchum,COMMUNITY SERVICE OFFICER,23.69,2.05
Ketchum,COMMUNITY SERVICE OFFICER,25.24,4.62
McCall,COMMUNITY SERVICE OFFICER,22.73,3.14
Telluride,COMMUNITY SERVICE OFFICER,33.35,
Telluride,COMMUNITY SERVICE OFFICER,30.32,
Telluride,COMMUNITY SERVICE OFFICER,25.06,
Ketchum,COMMUNITY SERVICE SUPERVISOR,26.78,2.78
Park City,COMMUNITY SERVICE SUPERVISOR,30.20,4.85
Park City,COMMUNITY SERVICE SUPERVISOR,27.62,2.36
Bellevue,DEPUTY TREASURER,27.58,
Bellevue,DEPUTY TREASURER,27.58,
Blaine Co Rec Dist,DEPUTY TREASURER,29.59,10.21
Hailey,DEPUTY TREASURER,30.23,3.77
Hailey,DEPUTY TREASURER,25.08,4.17
Hailey,DEPUTY TREASURER,23.35,1.96
Jackson,DEPUTY TREASURER,43.49,22.38
Jackson,DEPUTY TREASURER,29.01,7.92
Ketchum,DEPUTY TREASURER,29.72,1.95
McCall,DEPUTY TREASURER,26.01,8.03
Park City,DEPUTY TREASURER,30.20,6.71
Park City,DEPUTY TREASURER,37.51,7.44
Telluride,DEPUTY TREASURER,25.06,
Telluride,DEPUTY TREASURER,27.56,
Bellevue,DIRECTOR OF PLANNING & BUILDING,47.04,
Blaine County,DIRECTOR OF PLANNING & BUILDING,57.23,30.3
Hailey,DIRECTOR OF PLANNING & BUILDING,40.09,8.39
Jackson,DIRECTOR OF PLANNING & BUILDING,69.87,10.39
Ketchum,DIRECTOR OF PLANNING & BUILDING,60.10,2.78
McCall,DIRECTOR OF PLANNING & BUILDING,56.83,18.48
McCall,DIRECTOR OF PLANNING & BUILDING,31.84,12.58
Park City,DIRECTOR OF PLANNING & BUILDING,72.84,
Sun Valley,DIRECTOR OF PLANNING & BUILDING,63.64,2.95
Telluride,DIRECTOR OF PLANNING & BUILDING,59.08,
Blaine Co Rec Dist,DIRECTOR OF RECREATION,40.66,2.34
Ketchum,DIRECTOR OF RECREATION,40.04,19.9
McCall,DIRECTOR OF RECREATION,45.98,14.36
Park City,DIRECTOR OF RECREATION,71.09,28.03
Telluride,DIRECTOR OF RECREATION,59.08,
Hailey,EQUIPMENT OPERATOR I,34.76,5.79
Hailey,EQUIPMENT OPERATOR I,36.05,1.2
Ketchum,EQUIPMENT OPERATOR I,23.00,
Ketchum,EQUIPMENT OPERATOR I,24.64,1.68
McCall,EQUIPMENT OPERATOR I,23.95,0.94
McCall,EQUIPMENT OPERATOR I,24.19,1.34
Telluride,EQUIPMENT OPERATOR I,22.78,
Telluride,EQUIPMENT OPERATOR I,25.06,
Hailey,EQUIPMENT OPERATOR II,25.50,0.8
Hailey,EQUIPMENT OPERATOR II,26.41,0.82
Jackson,EQUIPMENT OPERATOR II,27.39,0.69
Jackson,EQUIPMENT OPERATOR II,27.47,1.17
Jackson,EQUIPMENT OPERATOR II,27.54,0.59
Jackson,EQUIPMENT OPERATOR II,27.81,0.7
Jackson,EQUIPMENT OPERATOR II,32.54,8.66
Ketchum,EQUIPMENT OPERATOR II,27.04,0.08
McCall,EQUIPMENT OPERATOR II,26.38,1.45
McCall,EQUIPMENT OPERATOR II,26.64,3.06
Sun Valley,EQUIPMENT OPERATOR II,32.19,0.94
Sun Valley,EQUIPMENT OPERATOR II,34.76,2.22
Sun Valley,EQUIPMENT OPERATOR II,38.51,34.24
Telluride,EQUIPMENT OPERATOR II,27.56,
Telluride,EQUIPMENT OPERATOR II,33.35,
Jackson,EQUIPMENT OPERATOR III,28.23,2.7
Jackson,EQUIPMENT OPERATOR III,28.89,1.36
Jackson,EQUIPMENT OPERATOR III,29.71,0.53
Ketchum,EQUIPMENT OPERATOR III,30.13,8.25
Ketchum,EQUIPMENT OPERATOR III,30.13,5.39
Ketchum,EQUIPMENT OPERATOR III,30.13,5.67
McCall,EQUIPMENT OPERATOR III,28.21,1.28
McCall,EQUIPMENT OPERATOR III,28.21,1.26
McCall,EQUIPMENT OPERATOR III,35.63,17.85
Park City,EQUIPMENT OPERATOR III,28.73,5.34
Park City,EQUIPMENT OPERATOR III,28.73,3.72
Park City,EQUIPMENT OPERATOR III,28.73,7.33
Park City,EQUIPMENT OPERATOR III,28.73,2.36
Park City,EQUIPMENT OPERATOR III,28.73,8.33
Park City,EQUIPMENT OPERATOR III,28.73,1.35
Park City,EQUIPMENT OPERATOR III,28.73,2.11
Park City,EQUIPMENT OPERATOR III,28.73,6.56
Park City,EQUIPMENT OPERATOR III,28.73,1.2
Park City,EQUIPMENT OPERATOR III,28.73,18.15
Park City,EQUIPMENT OPERATOR III,28.73,9.91
Park City,EQUIPMENT OPERATOR III,32.15,8.33
Telluride,EQUIPMENT OPERATOR III,30.32,
Blaine Co Rec Dist,FACILITIES MAINTENANCE SUPERVISOR,47.62,18.43
Jackson,FACILITIES MAINTENANCE SUPERVISOR,48.17,4.1
Ketchum,FACILITIES MAINTENANCE SUPERVISOR,38.26,13.14
McCall,FACILITIES MAINTENANCE SUPERVISOR,31.62,6.29
Park City,FACILITIES MAINTENANCE SUPERVISOR,49.97,25.34
Sun Valley,FACILITIES MAINTENANCE SUPERVISOR,25.09,0.94
Telluride,FACILITIES MAINTENANCE SUPERVISOR,44.39,
Telluride,FACILITIES MAINTENANCE SUPERVISOR,36.69,
Telluride,FACILITIES MAINTENANCE SUPERVISOR,36.69,
Blaine Co Rec Dist,FACILITY MAINTENANCE WORKER,26.27,1.43
Blaine Co Rec Dist,FACILITY MAINTENANCE WORKER,31.33,10.71
Blaine Co Sch Dist,FACILITY MAINTENANCE WORKER,33.61,2.01
Hailey,FACILITY MAINTENANCE WORKER,24.99,0.76
Hailey,FACILITY MAINTENANCE WORKER,34.60,13.09
Ketchum,FACILITY MAINTENANCE WORKER,23.92,
Ketchum,FACILITY MAINTENANCE WORKER,27.20,3.35
McCall,FACILITY MAINTENANCE WORKER,21.03,1.95
McCall,FACILITY MAINTENANCE WORKER,26.42,24.61
McCall,FACILITY MAINTENANCE WORKER,21.20,2.64
Park City,FACILITY MAINTENANCE WORKER,28.73,17.3
Park City,FACILITY MAINTENANCE WORKER,28.73,19.9
Park City,FACILITY MAINTENANCE WORKER,28.73,7.34
Park City,FACILITY MAINTENANCE WORKER,28.73,22.03
Park City,FACILITY MAINTENANCE WORKER,33.31,5.9
Park City,FACILITY MAINTENANCE WORKER,33.31,9.34
Park City,FACILITY MAINTENANCE WORKER,33.31,1.39
Park City,FACILITY MAINTENANCE WORKER,33.31,0.57
Park City,FACILITY MAINTENANCE WORKER,41.16,2.13
Park City,FACILITY MAINTENANCE WORKER,41.16,2.25
Park City,FACILITY MAINTENANCE WORKER,22.93,6.09
Park City,FACILITY MAINTENANCE WORKER,22.93,17.84
Telluride,FACILITY MAINTENANCE WORKER,27.56,
Telluride,FACILITY MAINTENANCE WORKER,25.06,
Telluride,FACILITY MAINTENANCE WORKER,22.78,
Telluride,FACILITY MAINTENANCE WORKER,30.32,
Telluride,FACILITY MAINTENANCE WORKER,30.32,
Hailey,FACILITY MAINTENANCE WORKER-SEASONAL,23.25,0.8
Ketchum,FACILITY MAINTENANCE WORKER-SEASONAL,23.00,
Ketchum,FACILITY MAINTENANCE WORKER-SEASONAL,24.64,14.91
McCall,FACILITY MAINTENANCE WORKER-SEASONAL,16.48,0.74
McCall,FACILITY MAINTENANCE WORKER-SEASONAL,16.97,0.82
McCall,FACILITY MAINTENANCE WORKER-SEASONAL,16.48,
Blaine Co Rec Dist,GROUND SUPERVISOR,25.86,3.29
Blaine Co Rec Dist,GROUND SUPERVISOR,25.75,0.8
Blaine Co Sch Dist,GROUND SUPERVISOR,29.57,6.06
Blaine Co Sch Dist,GROUND SUPERVISOR,36.90,6.11
Ketchum,GROUND SUPERVISOR,26.74,5.26
McCall,GROUND SUPERVISOR,26.97,9.43
Park City,GROUND SUPERVISOR,34.99,18.89
Park City,GROUND SUPERVISOR,34.99,9.87
Park City,GROUND SUPERVISOR,34.99,4.91
Park City,GROUND SUPERVISOR,34.99,4.89
Park City,GROUND SUPERVISOR,34.99,5.86
Park City,GROUND SUPERVISOR,34.99,5.34
Telluride,GROUND SUPERVISOR,27.56,
Jackson,HOUSING DEPUTY DIRECTOR,59.44,
Ketchum,HOUSING DEPUTY DIRECTOR,33.65,
Park City,HOUSING DEPUTY DIRECTOR,60.70,16.53
Summit Co,HOUSING DEPUTY DIRECTOR,49.77,
Jackson,HOUSING DIRECTOR,90.40,
Ketchum,HOUSING DIRECTOR,50.48,1.34
Park City,HOUSING DIRECTOR,65.89,
Telluride,HOUSING DIRECTOR,53.71,
Jackson,HOUSING PROGRAM ADMINISTRATOR,44.94,
Ketchum,HOUSING PROGRAM ADMINISTRATOR,34.31,0.42
Park City,HOUSING PROGRAM ADMINISTRATOR,41.69,15.76
Vail,HOUSING PROGRAM ADMINISTRATOR,40.11,
Vail,HOUSING PROGRAM ADMINISTRATOR,40.11,
Blaine County,PLANNING TECHNICIAN,27.24,16.38
Blaine County,PLANNING TECHNICIAN,25.86,2.38
Jackson,PLANNING TECHNICIAN,32.50,2.95
Ketchum,PLANNING TECHNICIAN,29.71,1.34
McCall,PLANNING TECHNICIAN,22.06,6.34
Park City,PLANNING TECHNICIAN,33.08,5.51
Park City,PLANNING TECHNICIAN,39.99,
Park City,PLANNING TECHNICIAN,23.17,9.72
Park City,PLANNING TECHNICIAN,23.17,
Park City,PLANNING TECHNICIAN,23.17,1.95
Sun Valley,PLANNING TECHNICIAN,33.33,2.07
Blaine Co Rec Dist,RECREATION SUPERVISOR,33.43,0.66
Blaine Co Sch Dist,RECREATION SUPERVISOR,32.21,2.3
Ketchum,RECREATION SUPERVISOR,27.80,2.21
McCall,RECREATION SUPERVISOR,31.40,7.84
Park City,RECREATION SUPERVISOR,45.89,14.34
Park City,RECREATION SUPERVISOR,45.89,23.7
Park City,RECREATION SUPERVISOR,45.89,11.82
Park City,RECREATION SUPERVISOR,50.88,20.92
Park City,RECREATION SUPERVISOR,33.60,5.5
Park City,RECREATION SUPERVISOR,33.60,9.1
Telluride,RECREATION SUPERVISOR,44.39,
Telluride,RECREATION SUPERVISOR,33.35,
Telluride,RECREATION SUPERVISOR,44.39,
Telluride,RECREATION SUPERVISOR,33.35,
Blaine Co Rec Dist,SENIOR MECHANIC,38.45,5.56
Blaine Co Sch Dist,SENIOR MECHANIC,39.86,4.45
Blaine County,SENIOR MECHANIC,41.93,7.72
Hailey,SENIOR MECHANIC,39.38,6.8
Hailey,SENIOR MECHANIC,36.92,22.47
Jackson,SENIOR MECHANIC,47.98,23.51
Jackson,SENIOR MECHANIC,47.98,23.22
Jackson,SENIOR MECHANIC,38.90,11.45
Jackson,SENIOR MECHANIC,41.99,17.49
Jackson,SENIOR MECHANIC,34.84,6.25
Ketchum,SENIOR MECHANIC,37.08,1.67
McCall,SENIOR MECHANIC,27.81,1.09
McCall,SENIOR MECHANIC,33.53,1.84
Park City,SENIOR MECHANIC,36.19,9.51
Park City,SENIOR MECHANIC,36.19,3.31
Park City,SENIOR MECHANIC,36.19,1.43
Park City,SENIOR MECHANIC,36.19,13
Telluride,SENIOR MECHANIC,36.69,
Bellevue,SENIOR PLANNER,27.81,
Blaine County,SENIOR PLANNER,35.69,6.05
Jackson,SENIOR PLANNER,48.18,9.68
Ketchum,SENIOR PLANNER,37.96,6.2
Ketchum,SENIOR PLANNER,38.46,
McCall,SENIOR PLANNER,32.04,2.78
Park City,SENIOR PLANNER,51.23,4.7
Park City,SENIOR PLANNER,57.50,6.96
Park City,SENIOR PLANNER,51.23,
Park City,SENIOR PLANNER,51.23,
Sun Valley,SENIOR PLANNER,47.04,0.86
Telluride,SENIOR PLANNER,44.39,
Bellevue,SENIOR PROJECT MANAGER,52.00,
Blaine Co Sch Dist,SENIOR PROJECT MANAGER,67.53,1.43
Hailey,SENIOR PROJECT MANAGER,59.52,6.08
Jackson,SENIOR PROJECT MANAGER,73.98,5.54
Ketchum,SENIOR PROJECT MANAGER,57.00,0.47
Ketchum,SENIOR PROJECT MANAGER,57.69,
McCall,SENIOR PROJECT MANAGER,57.23,13.98
Park City,SENIOR PROJECT MANAGER,89.66,14.03
Park City,SENIOR PROJECT MANAGER,74.48,33.92
Park City,SENIOR PROJECT MANAGER,64.12,
Park City,SENIOR PROJECT MANAGER,65.89,
Park City,SENIOR PROJECT MANAGER,64.12,
Telluride,SENIOR PROJECT MANAGER,71.49,
Telluride,SENIOR PROJECT MANAGER,53.71,
Telluride,SENIOR PROJECT MANAGER,33.35,
Bellevue,STREET SUPERVISOR,29.75,
Blaine County,STREET SUPERVISOR,41.57,32.3
Blaine County,STREET SUPERVISOR,42.81,11.63
Ketchum,STREET SUPERVISOR,38.00,4.71
McCall,STREET SUPERVISOR,33.61,17.44
Park City,STREET SUPERVISOR,41.85,19.34
Park City,STREET SUPERVISOR,41.85,7.86
Telluride,STREET SUPERVISOR,36.69,
Blaine County,STREETS SUPERINTENDENT,56.01,15.8
Hailey,STREETS SUPERINTENDENT,48.32,31.75
Jackson,STREETS SUPERINTENDENT,54.73,26.53
Ketchum,STREETS SUPERINTENDENT,44.71,6.15
McCall,STREETS SUPERINTENDENT,45.23,11.52
Sun Valley,STREETS SUPERINTENDENT,48.13,19.33
Telluride,STREETS SUPERINTENDENT,48.83,
Bellevue,TREASURER,41.10,
Blaine Co Rec Dist,TREASURER,47.62,17.26
Blaine Co Sch Dist,TREASURER,74.43,21.17
Hailey,TREASURER,43.45,18.44
Jackson,TREASURER,76.09,8.01
Jackson,TREASURER,68.79,26.98
Ketchum,TREASURER,45.88,8.82
McCall,TREASURER,61.34,25.34
Park City,TREASURER,68.21,0.63
Park City,TREASURER,49.36,
Park City,TREASURER,45.12,
Park City,TREASURER,53.89,
Park City,TREASURER,70.46,7.21
Sun Valley,TREASURER,56.75,4.61
Telluride,TREASURER,53.71,
Telluride,TREASURER,64.99,
Hailey,UTILITIES OFFICE COORDINATOR,29.18,9.6
Jackson,UTILITIES OFFICE COORDINATOR,34.69,9.05
Ketchum,UTILITIES OFFICE COORDINATOR,27.85,21.8
McCall,UTILITIES OFFICE COORDINATOR,24.55,5.1
McCall,UTILITIES OFFICE COORDINATOR,21.07,4.97
Park City,UTILITIES OFFICE COORDINATOR,34.31,1.91
Park City,UTILITIES OFFICE COORDINATOR,28.73,
Park City,UTILITIES OFFICE COORDINATOR,38.94,
Telluride,UTILITIES OFFICE COORDINATOR,27.56,
Telluride,WASTEWATER DIVISION SUPERVISOR,53.71,
Jackson,WASTEWATER DIVISION SUPERVISOR,48.77,11.83
Hailey,WASTEWATER DIVISION SUPERVISOR,48.07,11.17
Ketchum,WASTEWATER DIVISION SUPERVISOR,40.42,22.42
Hailey,WASTEWATER OPERATOR I ,45.95,26.39
Hailey,WASTEWATER OPERATOR I ,28.36,1.42
Hailey,WASTEWATER OPERATOR I ,28.07,0.99
Ketchum,WASTEWATER OPERATOR I ,26.18,2.8
Bellevue,WASTEWATER OPERATOR I ,25.87,
Hailey,WASTEWATER OPERATOR I ,25.75,1.59
Ketchum,WASTEWATER OPERATOR I ,25.17,1.85
Bellevue,WASTEWATER OPERATOR I ,23.79,
Bellevue,WASTEWATER OPERATOR I ,18.39,
Hailey,WASTEWATER OPERATOR II,36.00,21.17
Hailey,WASTEWATER OPERATOR II,30.23,1.97
Ketchum,WASTEWATER OPERATOR II,27.45,5.56
Ketchum,WASTEWATER OPERATOR II,26.59,4.71
SV Water & Sewer,WASTEWATER OPERATOR III,32.62,
Ketchum,WASTEWATER OPERATOR III,28.31,8.79
Park City,WASTEWATER OPERATOR IV,40.95,2.87
Park City,WASTEWATER OPERATOR IV,40.95,3.89
Park City,WASTEWATER OPERATOR IV,40.95,1.22
Park City,WASTEWATER OPERATOR IV,40.95,9.91
Park City,WASTEWATER OPERATOR IV,40.95,1.2
SV Water & Sewer,WASTEWATER OPERATOR IV,39.42,
Ketchum,WASTEWATER OPERATOR IV,31.06,21.99
Jackson,WASTEWATER OPERATOR IV,35.14,2.6
Jackson,WASTEWATER OPERATOR IV,38.28,13.32
Jackson,WATER DIVISION SUPERVISOR,61.67,24.5
Park City,WATER DIVISION SUPERVISOR,57.18,4.9
Telluride,WATER DIVISION SUPERVISOR,53.71,
Park City,WATER DIVISION SUPERVISOR,50.73,7.02
Park City,WATER DIVISION SUPERVISOR,50.73,23.85
Park City,WATER DIVISION SUPERVISOR,45.85,21.63
Park City,WATER DIVISION SUPERVISOR,45.85,16.83
Hailey,WATER DIVISION SUPERVISOR,43.04,18.81
Ketchum,WATER DIVISION SUPERVISOR,40.17,13.59
Bellevue,WATER DIVISION SUPERVISOR,31.42,
Jackson,WATER OPERATOR I,36.32,13.29
Jackson,WATER OPERATOR I,35.81,4.83
Hailey,WATER OPERATOR I,35.10,1.42
Jackson,WATER OPERATOR I,34.95,2.05
Jackson,WATER OPERATOR I,33.74,24.47
Telluride,WATER OPERATOR I,33.35,
Hailey,WATER OPERATOR I,29.78,4.27
Jackson,WATER OPERATOR I,29.24,2.02
Jackson,WATER OPERATOR I,29.17,0.82
Hailey,WATER OPERATOR I,28.79,1.91
Hailey,WATER OPERATOR I,27.34,2.43
McCall,WATER OPERATOR I,27.04,13.92
Telluride,WATER OPERATOR I,25.06,
Ketchum,WATER OPERATOR I,24.64,2.74
Ketchum,WATER OPERATOR I,23.00,
Ketchum,WATER OPERATOR I,23.00,
SV Water & Sewer,WATER OPERATOR II,32.50,
Bellevue,WATER OPERATOR II,30.39,
Telluride,WATER OPERATOR II,30.32,
Telluride,WATER OPERATOR II,30.32,
McCall,WATER OPERATOR II,27.81,6.33
Telluride,WATER OPERATOR II,27.56,
Bellevue,WATER OPERATOR II,26.78,
McCall,WATER OPERATOR II,26.64,1.98
Ketchum,WATER OPERATOR II,26.59,3.97
Telluride,WATER OPERATOR III,44.39,
Park City,WATER OPERATOR III,40.95,
Park City,WATER OPERATOR III,40.95,3.89
Park City,WATER OPERATOR III,40.95,1.22
Park City,WATER OPERATOR III,40.95,8.14
Park City,WATER OPERATOR III,40.95,1.22
Park City,WATER OPERATOR III,40.95,7.15
Park City,WATER OPERATOR III,40.95,6.03
Park City,WATER OPERATOR III,40.95,2.2
McCall,WATER OPERATOR III,39.63,3.79
SV Water & Sewer,WATER OPERATOR III,36.70,
Ketchum,WATER OPERATOR III,31.06,17.16
Blaine Co Rec Dist,YOUTH RECREATION ASSISTANT,14.42,1.76
Blaine Co Rec Dist,YOUTH RECREATION ASSISTANT,15.45,1.76
Blaine Co Rec Dist,YOUTH RECREATION ASSISTANT,13.91,0.73
Blaine Co Rec Dist,YOUTH RECREATION ASSISTANT,13.91,0.73
Blaine Co Rec Dist,YOUTH RECREATION ASSISTANT,20.60,2.76
Blaine Co Rec Dist,YOUTH RECREATION ASSISTANT,17.51,3.98
Blaine Co Rec Dist,YOUTH RECREATION ASSISTANT,15.45,2.49
Blaine Co Rec Dist,YOUTH RECREATION ASSISTANT,14.42,1.08
Ketchum,YOUTH RECREATION ASSISTANT,22.06,
Ketchum,YOUTH RECREATION ASSISTANT,24.00,0.25
Ketchum,YOUTH RECREATION ASSISTANT,24.00,0.32
Ketchum,YOUTH RECREATION ASSISTANT,24.00,
McCall,YOUTH RECREATION ASSISTANT,16.48,0.74
Ketchum,ZONING TECHNICIAN,,0
Jackson,,30.90,6.98
Bellevue,,26.91,
Bellevue,,24.65,
Bellevue,,21.68,
Bellevue,,16.56,
Bellevue,,29.36,
Bellevue,,29.36,
Bellevue,,26.52,
Bellevue,,40.17,
Bellevue,,39.14,
Bellevue,,35.54,
Bellevue,,13.39,
Bellevue,,14.17,
Bellevue,,24.82,
Bellevue,,20.40,
Blaine Co Rec Dist,,26.25,0.88
Blaine Co Rec Dist,,24.46,13.86
Blaine Co Rec Dist,,32.19,1.56
Blaine Co Rec Dist,,16.48,1.79
Blaine Co Rec Dist,,16.48,3.77
Blaine Co Rec Dist,,32.74,20.06
Blaine Co Rec Dist,,15.45,0.74
Blaine Co Rec Dist,,36.05,4.97
Blaine Co Rec Dist,,12.36,0.7
Blaine Co Rec Dist,,15.45,0.77
Blaine Co Rec Dist,,15.45,0.74
Blaine Co Rec Dist,,15.45,0.68
Blaine Co Rec Dist,,34.37,2.95
Blaine Co Rec Dist,,15.45,0.74
Blaine Co Rec Dist,,36.05,6.32
Blaine Co Rec Dist,,12.36,0.76
Blaine Co Rec Dist,,16.48,1.79
Blaine Co Rec Dist,,15.45,0.77
Blaine Co Rec Dist,,16.48,1.79
Blaine Co Rec Dist,,15.45,0.71
Blaine Co Rec Dist,,18.54,8.77
Blaine Co Rec Dist,,19.57,4.82
Blaine Co Rec Dist,,17.51,2.76
Blaine Co Rec Dist,,36.05,4.52
